horizontal_flip {'p': 0}
Round: 10 f1_score: 0.6623175375283301
Round: 10 average_Acc_f1: 0.668158768764165


Round: 20 Accuracy: 0.76
Round: 20 f1_score: 0.7571676029204644
Round: 20 average_Acc_f1: 0.7585838014602322


Round: 50 Accuracy: 0.778
Round: 50 f1_score: 0.7760209208566897
Round: 50 average_Acc_f1: 0.7770104604283449


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.512
Round: 1000 f1_score: 0.49565936337329475
Round: 1000 average_Acc_f1: 0.5038296816866474


seed: 43, noise_scale: 0.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.548
Round: 2 f1_score: 0.4155857589110242
Round: 2 average_Acc_f1: 0.4817928794555121


Round: 5 Accuracy: 0.692
Round: 5 f1_score: 0.6868696727178085
Round: 5 average_Acc_f1: 0.6894348363589042


Round: 10 Accuracy: 0.714
Round: 10 f1_score: 0.7118689829982552
Round: 10 average_Acc_f1: 0.7129344914991276


Round: 20 Accuracy: 0.768
Round: 20 f1_score: 0.7675499767549978
Round: 20 average_Acc_f1: 0.7677749883774989


Round: 50 Accuracy: 0.81
Round: 50 f1_score: 0.8084484323016434
Round: 50 average_Acc_f1: 0.8092242161508217


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.496
Round: 1000 f1_score: 0.45573294629898403
Round: 1000 average_Acc_f1: 0.47586647314949204


seed: 44, noise_scale: 0.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.688
Round: 5 f1_score: 0.6821205007824725
Round: 5 average_Acc_f1: 0.6850602503912362


Round: 10 Accuracy: 0.704
Round: 10 f1_score: 0.6987510380876389
Round: 10 average_Acc_f1: 0.7013755190438195


Round: 20 Accuracy: 0.778
Round: 20 f1_score: 0.7763458539357084
Round: 20 average_Acc_f1: 0.7771729269678542


Round: 50 Accuracy: 0.828
Round: 50 f1_score: 0.8278236914600552
Round: 50 average_Acc_f1: 0.8279118457300276


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.696
Round: 5 f1_score: 0.6956883849061439
Round: 5 average_Acc_f1: 0.6958441924530719


Round: 10 Accuracy: 0.69
Round: 10 f1_score: 0.6798565757459343
Round: 10 average_Acc_f1: 0.6849282878729671


Round: 20 Accuracy: 0.736
Round: 20 f1_score: 0.7307221542227662
Round: 20 average_Acc_f1: 0.7333610771113831


Round: 50 Accuracy: 0.69
Round: 50 f1_score: 0.68769015639671
Round: 50 average_Acc_f1: 0.688845078198355


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.48
Round: 1000 f1_score: 0.3785732040765598
Round: 1000 average_Acc_f1: 0.4292866020382799


seed: 43, noise_scale: 1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.524
Round: 2 f1_score: 0.3548876745598057
Round: 2 average_Acc_f1: 0.4394438372799029


