horizontal_flip {'p': 0}
Round: 5 average_Acc_f1: 0.712613310231463


Round: 10 Accuracy: 0.694
Round: 10 f1_score: 0.6861654338916716
Round: 10 average_Acc_f1: 0.6900827169458358


Round: 20 Accuracy: 0.828
Round: 20 f1_score: 0.8279008709016393
Round: 20 average_Acc_f1: 0.8279504354508196


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.488
Round: 1000 f1_score: 0.35358758888170655
Round: 1000 average_Acc_f1: 0.4207937944408533


seed: 43, noise_scale: 0.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.65
Round: 2 f1_score: 0.6491228070175439
Round: 2 average_Acc_f1: 0.649561403508772


Round: 5 Accuracy: 0.706
Round: 5 f1_score: 0.7023990282417247
Round: 5 average_Acc_f1: 0.7041995141208623


Round: 10 Accuracy: 0.732
Round: 10 f1_score: 0.7288371565945185
Round: 10 average_Acc_f1: 0.7304185782972592


Round: 20 Accuracy: 0.828
Round: 20 f1_score: 0.8279008709016393
Round: 20 average_Acc_f1: 0.8279504354508196


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.486
Round: 1000 f1_score: 0.3981800214500817
Round: 1000 average_Acc_f1: 0.44209001072504084


seed: 44, noise_scale: 0.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.538
Round: 2 f1_score: 0.39818360870992453
Round: 2 average_Acc_f1: 0.4680918043549623


Round: 5 Accuracy: 0.684
Round: 5 f1_score: 0.6773086726357753
Round: 5 average_Acc_f1: 0.6806543363178876


Round: 10 Accuracy: 0.728
Round: 10 f1_score: 0.7264198007692431
Round: 10 average_Acc_f1: 0.7272099003846215


Round: 20 Accuracy: 0.848
Round: 20 f1_score: 0.8479391756702681
Round: 20 average_Acc_f1: 0.8479695878351341


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 1
Round: 1 Accuracy: 0.616
Round: 1 f1_score: 0.613769130497755
Round: 1 average_Acc_f1: 0.6148845652488775


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.722
Round: 5 f1_score: 0.7204692898311151
Round: 5 average_Acc_f1: 0.7212346449155576


Round: 10 Accuracy: 0.706
Round: 10 f1_score: 0.7047137330210396
Round: 10 average_Acc_f1: 0.7053568665105198


Round: 20 Accuracy: 0.784
Round: 20 f1_score: 0.7836538461538463
Round: 20 average_Acc_f1: 0.7838269230769231


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


seed: 43, noise_scale: 1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.664
Round: 2 f1_score: 0.6634615384615385
